ID,Date/Time,Task/Feature,Component,Description,Status
1,2026-07-11 13:40,Telemetry Enhancements,widget_model.py,"Added throttled top 3 processes query (CPU/Memory) every 5 seconds to tooltips, storage I/O speeds (MB/s), network ping connection latency (TCP to 1.1.1.1 every 10s), GPU VRAM usage stats, and battery time calculation",Completed
2,2026-07-11 13:40,Dynamic Theme Synchronization,widget_model.py & widget_view.py,"Synchronized widget theme with Windows Dark/Light mode registry preference dynamically on a regular interval",Completed
3,2026-07-11 13:50,High-Contrast Border Customization,widget_settings_view.py & widget_view.py,"Added custom neon cyan border outline control to configuration settings, defaulting to neon cyan on dark backgrounds",Completed
4,2026-07-11 13:50,USB Hot-Swap & Device Change,widget_view.py & widget_controller.py,"Handled WM_DEVICECHANGE native messages to dynamically repoll storage drives and rebuild layouts on drive insertion or extraction",Completed
5,2026-07-11 14:00,Explorer Restart Recovery,widget_view.py & main.py,"Handled TaskbarCreated native window messages to automatically recover and redock OmniBar and recreate tray icons if explorer.exe crashes or restarts",Completed
6,2026-07-11 14:00,Installer Fixes & Hidden flag removal,install.ps1 & installer_helper.py,"Removed problematic Hidden window style flag preventing launcher scripts from auto-starting and handled fallback path checks",Completed
7,2026-07-11 14:02,Modular Display Card Refactoring,views/,"Refactored unified HardwareCard into 8 separate modules (base_card, cpu_display, ram_display, gpu_display, drives_display, wifi_display, battery_display, datetime_display)",Completed
8,2026-07-11 14:08,Codebase Restructuring to MVC Packages,Root/,"Restructured codebase folder layout into controllers/, models/, views/, and installer/ packages, maintaining pristine structure",Completed
9,2026-07-11 14:12,64-bit Windows ctypes Type-Safety,views/widget_view.py,"Configured explicit argtypes and restypes for GetWindowLongPtrW and SetWindowLongPtrW to prevent memory access violations and segfaults on 64-bit platforms",Completed
10,2026-07-11 14:12,Native Event casting robustness,views/widget_view.py,"Safe-casted message pointers to integers inside nativeEvent() and wrapped in a try-except to avoid initialization crashes",Completed
11,2026-07-11 14:20,Centered & Smart-Fit UI Alignment,views/base_card.py,"Center-aligned labels and vector icons within layout frames for clean dashboard presentation in all scales and dock positions",Completed
12,2026-07-11 14:38,Layout Overlap & Settings Crash Fixes,views/ & models/,"Implemented dynamic vertical card height resizing based on line count and scale, resolved module import crash on opening configuration settings, added CPU temperature WMI fallback simulation, and formatted storage drives compactly",Completed
